COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
LICHERI;SABRINA;04/06/1971;ASSEMINI ;CA ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LIRIS;GUIDO QUINTINO;12/06/1979;L'AQUILA;AQ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LISEI;MARCO;15/03/1977;BOLOGNA;BO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOCATELLI;ALESSANDRA;24/09/1976;COMO;CO;31/12/2030;MINISTERO PER LE DISABILITA';MINISTRO
LOIZZO;SIMONA;20/02/1965;COSENZA;CS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOLLOBRIGIDA;FRANCESCO;21/03/1972;TIVOLI;RM;31/12/2030;MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE;MINISTRO
LOLLOBRIGIDA;FRANCESCO;21/03/1972;TIVOLI ;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOMBARDO;MARCO;02/01/1981;LOCRI ;RC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOMUTI;ARNALDO;14/02/1975;VENOSA ;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LONGI;ELIANA;13/09/1978;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOPERFIDO;EMANUELE;04/11/1975;PORDENONE;PN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
